Force,T,U:0,U:1,U:2,generalizedNewtonian:nu,grad(U):0,grad(U):1,grad(U):2,grad(U):3,grad(U):4,grad(U):5,grad(U):6,grad(U):7,grad(U):8,grad(generalizedNewtonian:nu):0,grad(generalizedNewtonian:nu):1,grad(generalizedNewtonian:nu):2,kappa,p,rho,thermo:alpha,thermo:mu,wallHeatFlux,cellID,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Point ID
3.12627,450.967,-7.01099e-08,0,-0.00216397,81.1894,0.0204917,0,0.0008013,0,2.49889e-05,0,0.000867147,0,-0.011593,-275497,0,117650,0.242162,1.46207e+06,939.491,0.000119655,88368.4,3872.38,5999,1,0,0.000824497,0,-0.01006,0
3.12627,450.955,-7.92413e-08,0,-0.00216396,81.1788,0.0206639,0,0.000847556,0,2.51988e-05,0,0.000927426,0,-0.0117578,-274809,0,118052,0.242162,1.46207e+06,939.499,0.000119656,88464.5,3631.59,5999,1,1.24176e-06,0.000823875,0,-0.0100611,1
3.12626,450.942,-8.85132e-08,0,-0.00216395,81.1677,0.0208361,0,0.000894699,0,2.54088e-05,0,0.000988489,0,-0.0119225,-274118,0,118455,0.242162,1.46207e+06,939.508,0.000119658,88560.5,3390.98,5999,1,2.48352e-06,0.000823253,0,-0.0100621,2
3.12626,450.929,-9.79263e-08,0,-0.00216394,81.1558,0.0210084,0,0.000942738,0,2.56189e-05,0,0.00105034,0,-0.0120873,-273425,0,118859,0.242162,1.46207e+06,939.517,0.000119659,88656.2,3150.54,5999,1,3.72609e-06,0.000822631,0,-0.0100632,3
3.12626,450.916,-1.07479e-07,0,-0.00216393,81.1435,0.0211805,0,0.000991653,0,2.58288e-05,0,0.00111297,0,-0.0122518,-272730,0,119263,0.242162,1.46207e+06,939.525,0.00011966,88751.7,2910.3,5999,1,4.96782e-06,0.000822009,0,-0.0100643,4
3.12626,450.903,-1.17172e-07,0,-0.00216392,81.1306,0.0213526,0,0.00104146,0,2.60387e-05,0,0.00117639,0,-0.0124163,-272032,0,119668,0.242162,1.46207e+06,939.534,0.000119661,88847,2670.21,5999,1,6.20959e-06,0.000821387,0,-0.0100654,5
3.12626,450.89,-1.27164e-07,0,-0.00216391,81.1138,0.0215511,0,0.00109406,0,2.62807e-05,0,0.00124197,0,-0.0126068,-271317,0,120049,0.242162,1.46207e+06,939.542,0.000119663,88942.5,2430.29,6049,1,7.45135e-06,0.000820765,0,-0.0100664,6
3.12626,450.877,-1.37406e-07,0,-0.00216389,81.0945,0.0217634,0,0.00114872,0,2.65396e-05,0,0.00130921,0,-0.0128108,-270592,0,120418,0.242162,1.46207e+06,939.551,0.000119664,89038,2190.55,6049,1,8.69392e-06,0.000820143,0,-0.0100675,7
3.12626,450.864,-1.4782e-07,0,-0.00216388,81.0747,0.0219756,0,0.00120449,0,2.67983e-05,0,0.00137741,0,-0.0130145,-269865,0,120788,0.242162,1.46207e+06,939.559,0.000119665,89133.4,1950.99,6049,1,9.93568e-06,0.000819521,0,-0.0100686,8
3.12626,450.852,-1.58408e-07,0,-0.00216386,81.0543,0.0221877,0,0.00126137,0,2.7057e-05,0,0.00144658,0,-0.0132182,-269136,0,121158,0.242162,1.46207e+06,939.568,0.000119666,89228.6,1711.61,6049,1,1.11774e-05,0.000818899,0,-0.0100697,9
3.12626,450.839,-1.69167e-07,0,-0.00216385,81.0334,0.0223997,0,0.00131935,0,2.73156e-05,0,0.00151673,0,-0.0134217,-268405,0,121528,0.242162,1.46207e+06,939.576,0.000119667,89323.5,1472.42,6049,1,1.24192e-05,0.000818277,0,-0.0100707,10
3.12627,450.826,-1.80102e-07,0,-0.00216383,81.0117,0.022612,0,0.00137847,0,2.75744e-05,0,0.00158786,0,-0.0136253,-267672,0,121899,0.242162,1.46207e+06,939.585,0.000119669,89418.2,1233.39,6049,1,1.36617e-05,0.000817655,0,-0.0100718,11
3.12627,450.813,-1.91209e-07,0,-0.00216381,80.9896,0.022824,0,0.00143869,0,2.7833e-05,0,0.00165996,0,-0.0138287,-266937,0,122270,0.242162,1.46207e+06,939.593,0.00011967,89512.7,994.538,6049,1,1.49035e-05,0.000817033,0,-0.0100729,12
3.12627,450.8,-2.02489e-07,0,-0.0021638,80.9669,0.023036,0,0.00150001,0,2.80915e-05,0,0.00173303,0,-0.0140319,-266200,0,122641,0.242162,1.46207e+06,939.602,0.000119671,89607,755.862,6049,1,1.61453e-05,0.000816411,0,-0.010074,13
3.12627,450.787,-2.13943e-07,0,-0.00216378,80.9434,0.0232482,0,0.00156247,0,2.83503e-05,0,0.00180709,0,-0.0142352,-265460,0,123013,0.242162,1.46207e+06,939.61,0.000119672,89701.1,517.363,6049,1,1.73878e-05,0.000815789,0,-0.0100751,14
3.12627,450.775,-2.25569e-07,0,-0.00216377,80.9195,0.0234602,0,0.00162602,0,2.86088e-05,0,0.00188211,0,-0.0144382,-264719,0,123386,0.242162,1.46208e+06,939.619,0.000119673,89794.9,279.042,6049,1,1.86296e-05,0.000815167,0,-0.0100761,15
3.12628,450.762,-2.37367e-07,0,-0.00216375,80.895,0.0236722,0,0.00169068,0,2.88673e-05,0,0.0019581,0,-0.0146411,-263976,0,123758,0.242162,1.46208e+06,939.627,0.000119675,89888.6,40.9208,6049,1,1.98713e-05,0.000814545,0,-0.0100772,16
