Force,T,U:0,U:1,U:2,generalizedNewtonian:nu,grad(U):0,grad(U):1,grad(U):2,grad(U):3,grad(U):4,grad(U):5,grad(U):6,grad(U):7,grad(U):8,grad(generalizedNewtonian:nu):0,grad(generalizedNewtonian:nu):1,grad(generalizedNewtonian:nu):2,kappa,p,rho,thermo:alpha,thermo:mu,wallHeatFlux,cellID,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Point ID
2.38905,298.153,4.95644e-22,6.01719e-23,-0.00200001,39406.2,5.13921e-40,6.23914e-41,-2.07376e-21,6.23914e-41,7.57402e-42,-2.51758e-22,-2.07376e-21,-2.51758e-22,0.00836796,-3.07849e-11,-3.73733e-12,1.24222e+08,0.18126,1.1173e+06,1024.47,0.000126399,7.18738e+10,-16.0659,0,1,0,0,0,0,0
2.3992,298.159,4.95668e-22,6.01749e-23,-0.0020001,38206.6,5.40572e-40,6.5627e-41,-2.1813e-21,6.5627e-41,7.96638e-42,-2.64814e-22,-2.1813e-21,-2.64814e-22,0.00880192,-3.0151e-11,-3.66038e-12,1.21664e+08,0.185183,1.12204e+06,1024.47,0.000126398,7.18738e+10,-15.0308,0,1,1.179e-05,0,0,-1.179e-05,1
2.40934,298.164,4.95692e-22,6.01779e-23,-0.0020002,37007.1,5.67225e-40,6.88626e-41,-2.28885e-21,6.88626e-41,8.36015e-42,-2.7787e-22,-2.28885e-21,-2.7787e-22,0.00923588,-2.95172e-11,-3.58344e-12,1.19107e+08,0.189107,1.12678e+06,1024.47,0.000126397,7.18738e+10,-13.9958,0,1,2.358e-05,0,0,-2.358e-05,2
2.41948,298.17,4.95717e-22,6.01808e-23,-0.0020003,35807.6,5.93876e-40,7.20982e-41,-2.39639e-21,7.20982e-41,8.75251e-42,-2.90926e-22,-2.39639e-21,-2.90926e-22,0.00966984,-2.88834e-11,-3.50649e-12,1.16549e+08,0.193031,1.13153e+06,1024.47,0.000126396,7.18738e+10,-12.9608,0,1,3.537e-05,0,0,-3.537e-05,3
2.42963,298.175,4.95741e-22,6.01838e-23,-0.0020004,34608,6.20527e-40,7.53338e-41,-2.50394e-21,7.53338e-41,9.14487e-42,-3.03982e-22,-2.50394e-21,-3.03982e-22,0.0101038,-2.82495e-11,-3.42954e-12,1.13992e+08,0.196954,1.13627e+06,1024.47,0.000126395,7.18738e+10,-11.9257,0,1,4.716e-05,0,0,-4.716e-05,4
2.43977,298.181,4.95765e-22,6.01867e-23,-0.0020005,33408.5,6.4718e-40,7.85694e-41,-2.61148e-21,7.85694e-41,9.53864e-42,-3.17038e-22,-2.61148e-21,-3.17038e-22,0.0105378,-2.76157e-11,-3.35259e-12,1.11434e+08,0.200878,1.14102e+06,1024.46,0.000126394,7.18738e+10,-10.8907,0,1,5.895e-05,0,0,-5.895e-05,5
2.44991,298.186,4.9579e-22,6.01897e-23,-0.0020006,32208.9,6.73831e-40,8.1805e-41,-2.71902e-21,8.1805e-41,9.931e-42,-3.30094e-22,-2.71902e-21,-3.30094e-22,0.0109717,-2.69819e-11,-3.27564e-12,1.08876e+08,0.204801,1.14576e+06,1024.46,0.000126393,7.18738e+10,-9.85563,0,1,7.074e-05,0,0,-7.074e-05,6
2.46006,298.192,4.95814e-22,6.01926e-23,-0.00200069,31009.4,7.00482e-40,8.50392e-41,-2.82657e-21,8.50392e-41,1.03234e-41,-3.4315e-22,-2.82657e-21,-3.4315e-22,0.0114057,-2.63481e-11,-3.1987e-12,1.06319e+08,0.208725,1.1505e+06,1024.46,0.000126391,7.18738e+10,-8.82059,0,1,8.253e-05,0,0,-8.253e-05,7
2.4702,298.197,4.95838e-22,6.01956e-23,-0.00200079,29809.8,7.27135e-40,8.82748e-41,-2.93411e-21,8.82748e-41,1.07171e-41,-3.56206e-22,-2.93411e-21,-3.56206e-22,0.0118396,-2.57142e-11,-3.12175e-12,1.03761e+08,0.212648,1.15525e+06,1024.46,0.00012639,7.18738e+10,-7.78555,0,1,9.432e-05,0,0,-9.432e-05,8
2.48035,298.203,4.95863e-22,6.01985e-23,-0.00200089,28610.3,7.53786e-40,9.15104e-41,-3.04166e-21,9.15104e-41,1.11095e-41,-3.69262e-22,-3.04166e-21,-3.69262e-22,0.0122736,-2.50804e-11,-3.0448e-12,1.01204e+08,0.216572,1.15999e+06,1024.46,0.000126389,7.18738e+10,-6.75051,0,1,0.00010611,0,0,-0.00010611,9
2.49049,298.208,4.95887e-22,6.02015e-23,-0.00200099,27410.8,7.80438e-40,9.4746e-41,-3.1492e-21,9.4746e-41,1.15019e-41,-3.82318e-22,-3.1492e-21,-3.82318e-22,0.0127076,-2.44466e-11,-2.96785e-12,9.86461e+07,0.220496,1.16474e+06,1024.45,0.000126388,7.18738e+10,-5.71546,0,1,0.0001179,0,0,-0.0001179,10
2.50063,298.214,4.95911e-22,6.02045e-23,-0.00200109,26211.2,8.07089e-40,9.79816e-41,-3.25675e-21,9.79816e-41,1.18942e-41,-3.95374e-22,-3.25675e-21,-3.95374e-22,0.0131415,-2.38127e-11,-2.89091e-12,9.60885e+07,0.224419,1.16948e+06,1024.45,0.000126387,7.18738e+10,-4.68042,0,1,0.00012969,0,0,-0.00012969,11
