Force,T,U:0,U:1,U:2,generalizedNewtonian:nu,grad(U):0,grad(U):1,grad(U):2,grad(U):3,grad(U):4,grad(U):5,grad(U):6,grad(U):7,grad(U):8,grad(generalizedNewtonian:nu):0,grad(generalizedNewtonian:nu):1,grad(generalizedNewtonian:nu):2,kappa,p,rho,thermo:alpha,thermo:mu,wallHeatFlux,cellID,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Point ID
2.8536,446.797,-0.00133956,1.69407e-21,-0.00573061,4.35016,-5.55009,6.93889e-18,3.96932,6.93889e-18,-0.00676811,6.93889e-18,3.23332,-3.46945e-18,12.2623,-3713.41,0,11571.4,0.242162,1.33455e+06,942.263,0.000120066,125929,0,8612,1,0,0.00020235,0,-0.011135,0
2.85321,446.822,-0.00134167,0,-0.00573867,4.34259,-5.55776,0,3.98281,0,-0.00677747,0,3.23952,-3.46945e-18,12.2807,-3718.75,-3.55271e-15,11559.2,0.242162,1.33437e+06,942.246,0.000120063,125668,0,8612,1,6.55651e-07,0.00020235,0,-0.0111357,1
2.85282,446.846,-0.00134378,1.69407e-21,-0.00574672,4.33502,-5.56542,6.93889e-18,3.9963,6.93889e-18,-0.00678681,-3.46945e-18,3.24571,0,12.299,-3724.08,-3.55271e-15,11547,0.242162,1.33419e+06,942.23,0.000120061,125406,0,8612,1,1.31037e-06,0.00020235,0,-0.0111363,2
2.85243,446.87,-0.00134589,1.69407e-21,-0.00575476,4.32746,-5.57306,0,4.00981,0,-0.00679613,-3.46945e-18,3.25191,-3.46945e-18,12.3173,-3729.4,0,11534.7,0.242162,1.33401e+06,942.214,0.000120058,125145,0,8612,1,1.96509e-06,0.00020235,0,-0.011137,3
2.85204,446.895,-0.00134801,-1.69407e-21,-0.0057628,4.3199,-5.5807,0,4.02333,0,-0.00680544,0,3.25812,0,12.3356,-3734.71,3.55271e-15,11522.5,0.242162,1.33382e+06,942.198,0.000120056,124884,0,8612,1,2.61981e-06,0.00020235,0,-0.0111376,4
2.85165,446.919,-0.00135013,-1.69407e-21,-0.00577085,4.31232,-5.58834,6.93889e-18,4.03689,6.93889e-18,-0.00681476,-3.46945e-18,3.26434,3.46945e-18,12.3539,-3740.03,0,11510.2,0.242162,1.33364e+06,942.181,0.000120054,124622,0,8612,1,3.27546e-06,0.00020235,0,-0.0111383,5
2.85126,446.944,-0.00135225,8.47033e-22,-0.00577888,4.30476,-5.59596,0,4.05045,0,-0.00682405,0,3.27055,-3.46945e-18,12.3722,-3745.33,3.55271e-15,11497.9,0.242162,1.33346e+06,942.165,0.000120051,124361,0,8612,1,3.93018e-06,0.00020235,0,-0.0111389,6
2.85087,446.968,-0.00135438,0,-0.00578691,4.29719,-5.60357,3.46945e-18,4.06402,3.46945e-18,-0.00683333,3.46945e-18,3.27678,-1.73472e-18,12.3904,-3750.63,0,11485.7,0.242162,1.33327e+06,942.148,0.000120049,124100,0,8612,1,4.5849e-06,0.00020235,0,-0.0111396,7
2.85047,446.993,-0.00135651,-8.47033e-22,-0.00579495,4.28962,-5.61118,0,4.07763,0,-0.00684261,-3.46945e-18,3.28302,1.73472e-18,12.4087,-3755.93,3.55271e-15,11473.4,0.242162,1.33309e+06,942.132,0.000120046,123838,0,8612,1,5.24055e-06,0.00020235,0,-0.0111402,8
2.85008,447.018,-0.00135863,1.69407e-21,-0.00580298,4.28205,-5.61877,-3.46945e-18,4.09124,-3.46945e-18,-0.00685186,1.73472e-18,3.28925,-1.73472e-18,12.4269,-3761.22,3.55271e-15,11461.1,0.242162,1.33291e+06,942.116,0.000120044,123577,0,8612,1,5.89527e-06,0.00020235,0,-0.0111409,9
2.84969,447.042,-0.00136076,-4.23516e-22,-0.005811,4.27448,-5.62635,0,4.10486,0,-0.00686111,1.73472e-18,3.29549,-3.46945e-18,12.4452,-3766.5,0,11448.8,0.242162,1.33273e+06,942.099,0.000120041,123316,0,8612,1,6.54999e-06,0.00020235,0,-0.0111415,10
