Force,T,U:0,U:1,U:2,generalizedNewtonian:nu,grad(U):0,grad(U):1,grad(U):2,grad(U):3,grad(U):4,grad(U):5,grad(U):6,grad(U):7,grad(U):8,grad(generalizedNewtonian:nu):0,grad(generalizedNewtonian:nu):1,grad(generalizedNewtonian:nu):2,kappa,p,rho,thermo:alpha,thermo:mu,wallHeatFlux,cellID,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Point ID
6.39458,306.202,-6.5885e-08,0,-0.0020021,5596.42,0.0645128,0,-0.00126539,0,7.86708e-05,0,0.00128229,0,0.0426004,-2.73732e+07,0,-1.65934e+07,0.191034,2.99057e+06,1021.64,0.000125107,7.18738e+10,-14435.4,49,1,0,0.000824497,0,0,0
6.36273,307.365,-6.88778e-08,0,-0.00200241,5752.81,0.0634825,0,-0.00126024,0,7.74144e-05,0,0.00122634,0,0.0420303,-2.61205e+07,0,-1.68393e+07,0.193856,2.97568e+06,1021.23,0.000124944,7.18738e+10,-12434.6,49,1,1.01e-05,0.000824497,0,-1.01e-05,1
6.33089,308.527,-7.18707e-08,0,-0.00200273,5909.21,0.0624521,0,-0.0012551,0,7.61579e-05,0,0.00117038,0,0.0414602,-2.48677e+07,0,-1.70852e+07,0.196678,2.96079e+06,1020.83,0.00012478,7.18738e+10,-10433.9,49,1,2.02e-05,0.000824497,0,-2.02e-05,2
6.29904,309.689,-7.48635e-08,0,-0.00200304,6065.6,0.0614218,0,-0.00124995,0,7.49015e-05,0,0.00111442,0,0.0408901,-2.3615e+07,0,-1.73311e+07,0.199499,2.94589e+06,1020.42,0.000124617,7.18738e+10,-8433.17,49,1,3.03e-05,0.000824497,0,-3.03e-05,3
6.2672,310.852,-7.78564e-08,0,-0.00200336,6222,0.0603915,0,-0.0012448,0,7.3645e-05,0,0.00105847,0,0.04032,-2.23622e+07,0,-1.75771e+07,0.202321,2.931e+06,1020.01,0.000124454,7.18738e+10,-6432.44,49,1,4.04e-05,0.000824497,0,-4.04e-05,4
6.23535,312.014,-8.08492e-08,0,-0.00200367,6378.39,0.0593612,0,-0.00123966,0,7.23886e-05,0,0.00100251,0,0.0397498,-2.11095e+07,0,-1.7823e+07,0.205143,2.91611e+06,1019.61,0.00012429,7.18738e+10,-4431.7,49,1,5.05e-05,0.000824497,0,-5.05e-05,5
6.2035,313.177,-8.38421e-08,0,-0.00200398,6534.78,0.0583308,0,-0.00123451,0,7.11321e-05,0,0.000946555,0,0.0391797,-1.98568e+07,0,-1.80689e+07,0.207965,2.90121e+06,1019.2,0.000124127,7.18738e+10,-2430.96,49,1,6.06e-05,0.000824497,0,-6.06e-05,6
6.17166,314.339,-8.68349e-08,0,-0.0020043,6691.18,0.0573005,0,-0.00122936,0,6.98757e-05,0,0.000890598,0,0.0386096,-1.8604e+07,0,-1.83148e+07,0.210786,2.88632e+06,1018.79,0.000123963,7.18738e+10,-430.228,49,1,7.07e-05,0.000824497,0,-7.07e-05,7
6.13981,315.501,-8.98278e-08,0,-0.00200461,6847.57,0.0562702,0,-0.00122422,0,6.86193e-05,0,0.000834641,0,0.0380395,-1.73513e+07,0,-1.85607e+07,0.213608,2.87143e+06,1018.38,0.0001238,7.18738e+10,1570.51,49,1,8.08e-05,0.000824497,0,-8.08e-05,8
6.10797,316.664,-9.28206e-08,0,-0.00200493,7003.97,0.0552399,0,-0.00121907,0,6.73628e-05,0,0.000778685,0,0.0374693,-1.60985e+07,0,-1.88066e+07,0.21643,2.85653e+06,1017.98,0.000123637,7.18738e+10,3571.24,49,1,9.09e-05,0.000824497,0,-9.09e-05,9
6.07612,317.826,-9.58135e-08,0,-0.00200524,7160.36,0.0542095,0,-0.00121392,0,6.61064e-05,0,0.000722728,0,0.0368992,-1.48458e+07,0,-1.90526e+07,0.219251,2.84164e+06,1017.57,0.000123473,7.18738e+10,5571.98,49,1,0.000101,0.000824497,0,-0.000101,10
6.04427,318.989,-9.88064e-08,0,-0.00200556,7316.75,0.0531792,0,-0.00120878,0,6.48499e-05,0,0.000666771,0,0.0363291,-1.3593e+07,0,-1.92985e+07,0.222073,2.82675e+06,1017.16,0.00012331,7.18738e+10,7572.72,49,1,0.0001111,0.000824497,0,-0.0001111,11
6.01243,320.151,-1.01799e-07,0,-0.00200587,7473.15,0.0521489,0,-0.00120363,0,6.35935e-05,0,0.000610815,0,0.035759,-1.23403e+07,0,-1.95444e+07,0.224895,2.81185e+06,1016.76,0.000123147,7.18738e+10,9573.45,49,1,0.0001212,0.000824497,0,-0.0001212,12
5.98058,321.314,-1.04792e-07,0,-0.00200619,7629.54,0.0511185,0,-0.00119848,0,6.2337e-05,0,0.000554858,0,0.0351889,-1.10876e+07,0,-1.97903e+07,0.227717,2.79696e+06,1016.35,0.000122983,7.18738e+10,11574.2,49,1,0.0001313,0.000824497,0,-0.0001313,13
5.94874,322.476,-1.07785e-07,0,-0.0020065,7785.94,0.0500882,0,-0.00119334,0,6.10806e-05,0,0.000498901,0,0.0346187,-9.83481e+06,0,-2.00362e+07,0.230538,2.78207e+06,1015.94,0.00012282,7.18738e+10,13574.9,49,1,0.0001414,0.000824497,0,-0.0001414,14
