Force,T,U:0,U:1,U:2,generalizedNewtonian:nu,grad(U):0,grad(U):1,grad(U):2,grad(U):3,grad(U):4,grad(U):5,grad(U):6,grad(U):7,grad(U):8,grad(generalizedNewtonian:nu):0,grad(generalizedNewtonian:nu):1,grad(generalizedNewtonian:nu):2,kappa,p,rho,thermo:alpha,thermo:mu,wallHeatFlux,cellID,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Point ID
3.13019,432.333,5.42305e-22,6.58367e-23,-0.00218829,126.158,1.12206e-38,1.3622e-39,-4.5277e-20,1.3622e-39,1.65373e-40,-5.4967e-21,-4.5277e-20,-5.4967e-21,0.1827,-1.46234e-13,-1.7753e-14,590078,0.242162,1.46391e+06,952.003,0.000121271,511983,0,6400,1,0,0,0,-0.0103,0
3.13022,432.335,-4.81669e-08,6.45201e-23,-0.00218834,125.972,-0.00149809,0,4.35822e-05,0,-1.82686e-06,-5.4263e-21,0.000377614,-5.71747e-21,0.18308,-290.579,-1.73195e-14,589437,0.242162,1.46392e+06,952.001,0.000121271,511836,0,6400,1,5.9487e-07,5.1375e-07,0,-0.0103003,1
3.13025,432.338,-9.65506e-08,6.32276e-23,-0.0021884,125.786,-0.00300291,0,8.73969e-05,0,-3.66193e-06,-5.24102e-21,0.000756897,-4.65868e-21,0.183461,-580.257,-1.68754e-14,588797,0.242162,1.46394e+06,952,0.000121271,511690,0,6400,1,1.18974e-06,1.0275e-06,0,-0.0103006,2
3.13028,432.341,-1.45151e-07,6.19351e-23,-0.00218845,125.6,-0.00451447,0,0.000131444,0,-5.50522e-06,-5.18808e-21,0.00113785,-5.0822e-21,0.183841,-869.033,-1.59872e-14,588157,0.242162,1.46395e+06,951.998,0.000121271,511543,0,6400,1,1.78461e-06,1.54125e-06,0,-0.0103009,3
3.13031,432.343,-1.93968e-07,6.03842e-23,-0.0021885,125.414,-0.00603277,0,0.000175723,0,-7.35672e-06,-5.0822e-21,0.00152048,-4.23516e-21,0.184221,-1156.91,-1.5099e-14,587517,0.242162,1.46396e+06,951.996,0.000121271,511396,0,6400,1,2.37948e-06,2.055e-06,0,-0.0103012,4
3.13034,432.346,-2.43002e-07,5.93502e-23,-0.00218855,125.228,-0.0075578,0,0.000220235,0,-9.21643e-06,-4.97632e-21,0.00190477,-5.0822e-21,0.184601,-1443.88,-1.5099e-14,586877,0.242162,1.46398e+06,951.994,0.000121271,511250,0,6400,1,2.97435e-06,2.56875e-06,0,-0.0103015,5
3.13037,432.349,-2.92255e-07,5.79026e-23,-0.00218861,125.042,-0.00908962,0,0.000264982,0,-1.10844e-05,-4.87044e-21,0.00229075,-8.47033e-21,0.184982,-1729.95,-1.42109e-14,586235,0.242162,1.46399e+06,951.992,0.00012127,511103,0,6400,1,3.56969e-06,3.0825e-06,0,-0.0103018,6
3.1304,432.351,-3.41722e-07,5.68687e-23,-0.00218866,124.856,-0.0106281,0,0.000309959,0,-1.29606e-05,-4.44692e-21,0.00267839,-8.47033e-21,0.185362,-2015.12,-1.42109e-14,585595,0.242162,1.464e+06,951.991,0.00012127,510956,0,6400,1,4.16456e-06,3.59625e-06,0,-0.0103021,7
3.13043,432.354,-3.91407e-07,5.50075e-23,-0.00218871,124.67,-0.0121734,0,0.000355168,0,-1.48449e-05,-4.23516e-21,0.00306769,-8.47033e-21,0.185742,-2299.38,-1.42109e-14,584955,0.242162,1.46402e+06,951.989,0.00012127,510809,0,6400,1,4.75943e-06,4.11e-06,0,-0.0103024,8
3.13046,432.356,-4.41308e-07,5.39735e-23,-0.00218876,124.484,-0.0137254,0,0.00040061,0,-1.67375e-05,-4.23516e-21,0.00345867,-8.47033e-21,0.186122,-2582.75,-1.77636e-14,584315,0.242162,1.46403e+06,951.987,0.00012127,510663,0,6400,1,5.3543e-06,4.62375e-06,0,-0.0103027,9
3.13049,432.359,-4.91426e-07,5.23192e-23,-0.00218881,124.299,-0.0152841,0,0.000446285,0,-1.86383e-05,-4.23516e-21,0.00385132,-6.77626e-21,0.186502,-2865.22,-1.77636e-14,583675,0.242162,1.46405e+06,951.985,0.00012127,510516,0,6400,1,5.94917e-06,5.1375e-06,0,-0.010303,10
3.13052,432.362,-5.41761e-07,5.1492e-23,-0.00218887,124.113,-0.0168495,0,0.000492191,0,-2.05473e-05,-4.23516e-21,0.00424564,0,0.186882,-3146.78,-1.77636e-14,583035,0.242162,1.46406e+06,951.983,0.00012127,510370,0,6400,1,6.54404e-06,5.65125e-06,0,-0.0103033,11
3.13055,432.364,-5.92312e-07,4.90105e-23,-0.00218892,123.927,-0.0184217,0,0.00053833,0,-2.24645e-05,-4.02341e-21,0.00464162,0,0.187262,-3427.44,-8.88178e-15,582395,0.242162,1.46407e+06,951.982,0.00012127,510223,0,6400,1,7.13891e-06,6.165e-06,0,-0.0103036,12
3.13058,432.367,-6.4308e-07,4.81833e-23,-0.00218897,123.741,-0.0200006,0,0.000584702,0,-2.43899e-05,-4.02341e-21,0.00503928,0,0.187642,-3707.2,-8.88178e-15,581755,0.242162,1.46409e+06,951.98,0.000121269,510077,0,6400,1,7.73378e-06,6.67875e-06,0,-0.0103039,13
3.13061,432.37,-6.9407e-07,4.73561e-23,-0.00218902,123.555,-0.0215864,0,0.000631311,0,-2.63238e-05,-4.02341e-21,0.00543865,0,0.188023,-3986.04,-8.88178e-15,581113,0.242162,1.4641e+06,951.978,0.000121269,509930,0,6400,1,8.32912e-06,7.1925e-06,0,-0.0103042,14
3.13064,432.372,-7.45272e-07,4.48745e-23,-0.00218907,123.37,-0.0231788,0,0.000678148,0,-2.82656e-05,-3.81165e-21,0.00583965,0,0.188403,-4264,-8.88178e-15,580473,0.242162,1.46412e+06,951.976,0.000121269,509783,0,6400,1,8.92399e-06,7.70625e-06,0,-0.0103045,15
3.13067,432.375,-7.96691e-07,4.42542e-23,-0.00218913,123.184,-0.0247779,0,0.000725217,0,-3.02157e-05,-3.81165e-21,0.00624232,0,0.188783,-4541.06,-1.59872e-14,579833,0.242162,1.46413e+06,951.974,0.000121269,509637,0,6400,1,9.51886e-06,8.22e-06,0,-0.0103048,16
3.1307,432.378,-8.48326e-07,4.3427e-23,-0.00218918,122.998,-0.0263838,0,0.000772518,0,-3.2174e-05,-3.81165e-21,0.00664666,0,0.189163,-4817.21,-1.59872e-14,579194,0.242162,1.46415e+06,951.973,0.000121269,509490,0,6400,1,1.01137e-05,8.73375e-06,0,-0.0103051,17
3.13074,432.38,-9.00178e-07,4.11522e-23,-0.00218923,122.813,-0.0279964,0,0.000820052,0,-3.41405e-05,-3.81165e-21,0.00705267,0,0.189543,-5092.46,-1.59872e-14,578554,0.242162,1.46416e+06,951.971,0.000121269,509344,0,6400,1,1.07086e-05,9.2475e-06,0,-0.0103054,18
