Force,T,U:0,U:1,U:2,generalizedNewtonian:nu,grad(U):0,grad(U):1,grad(U):2,grad(U):3,grad(U):4,grad(U):5,grad(U):6,grad(U):7,grad(U):8,grad(generalizedNewtonian:nu):0,grad(generalizedNewtonian:nu):1,grad(generalizedNewtonian:nu):2,kappa,p,rho,thermo:alpha,thermo:mu,wallHeatFlux,cellID,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Point ID
2.66637,442.406,4.46656e-13,6.71737e-23,-0.00923807,3.10239,5.44734e-20,8.19239e-30,-1.12666e-09,8.19239e-30,1.23207e-39,-1.69441e-19,-1.12666e-09,-1.69441e-19,23.3024,-4.2794e-07,-6.4359e-17,8850.98,0.242162,1.24699e+06,945.198,0.000120491,186452,0,9100,1,0,0,0,-0.0113044,0
2.66696,442.41,-1.04661e-05,5.29396e-23,-0.00923781,3.10192,-0.527431,0,0.0428551,0,-0.000643181,-1.6263e-19,0.035359,-1.6263e-19,23.301,-23.9501,-5.55112e-17,8849.53,0.242162,1.24727e+06,945.196,0.000120491,186400,0,9100,1,8.24497e-07,8.24497e-07,0,-0.0113044,1
2.66755,442.413,-2.09322e-05,5.29396e-23,-0.00923754,3.10145,-1.05486,0,0.0857102,0,-0.00128636,-2.1684e-19,0.070718,-2.1684e-19,23.2996,-47.9002,-1.11022e-16,8848.09,0.242162,1.24754e+06,945.194,0.000120491,186347,0,9100,1,1.64899e-06,1.64899e-06,0,-0.0113044,2
2.66815,442.416,-3.13983e-05,1.05879e-22,-0.00923728,3.10098,-1.58229,0,0.128565,0,-0.00192954,0,0.106077,-2.1684e-19,23.2981,-71.8502,0,8846.64,0.242162,1.24782e+06,945.192,0.000120491,186294,0,9100,1,2.47349e-06,2.47349e-06,0,-0.0113044,3
2.66874,442.419,-4.18644e-05,5.29396e-23,-0.00923701,3.10052,-2.10973,0,0.17142,0,-0.00257273,0,0.141436,0,23.2967,-95.8003,0,8845.19,0.242162,1.2481e+06,945.19,0.00012049,186241,0,9100,1,3.29799e-06,3.29799e-06,0,-0.0113044,4
2.66933,442.422,-5.23305e-05,0,-0.00923675,3.10005,-2.63716,0,0.214275,0,-0.00321591,0,0.176795,0,23.2953,-119.75,0,8843.74,0.242162,1.24838e+06,945.188,0.00012049,186188,0,9100,1,4.12248e-06,4.12248e-06,0,-0.0113044,5
2.66993,442.425,-6.27966e-05,0,-0.00923648,3.09958,-3.16459,0,0.257131,0,-0.00385909,0,0.212154,0,23.2939,-143.7,0,8842.3,0.242162,1.24865e+06,945.186,0.00012049,186135,0,9100,1,4.94698e-06,4.94698e-06,0,-0.0113044,6
2.67052,442.428,-7.32628e-05,0,-0.00923622,3.09911,-3.69202,0,0.299986,0,-0.00450227,0,0.247513,0,23.2925,-167.651,0,8840.85,0.242162,1.24893e+06,945.184,0.000120489,186082,0,9100,1,5.77148e-06,5.77148e-06,0,-0.0113044,7
2.67111,442.431,-8.37289e-05,0,-0.00923595,3.09864,-4.21945,0,0.342841,0,-0.00514545,0,0.282872,0,23.291,-191.601,0,8839.4,0.242162,1.24921e+06,945.182,0.000120489,186029,0,9100,1,6.59598e-06,6.59598e-06,0,-0.0113044,8
2.67171,442.434,-9.4195e-05,0,-0.00923569,3.09817,-4.74688,0,0.385696,0,-0.00578863,0,0.318231,0,23.2896,-215.551,0,8837.95,0.242162,1.24949e+06,945.18,0.000120489,185976,0,9100,1,7.42047e-06,7.42047e-06,0,-0.0113044,9
