Force,T,U:0,U:1,U:2,generalizedNewtonian:nu,grad(U):0,grad(U):1,grad(U):2,grad(U):3,grad(U):4,grad(U):5,grad(U):6,grad(U):7,grad(U):8,grad(generalizedNewtonian:nu):0,grad(generalizedNewtonian:nu):1,grad(generalizedNewtonian:nu):2,kappa,p,rho,thermo:alpha,thermo:mu,wallHeatFlux,cellID,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Point ID
3.19117,389.523,5.23265e-22,6.35252e-23,-0.00211146,6159.38,1.02076e-39,1.23921e-40,-4.11893e-21,1.23921e-40,1.50443e-41,-5.00045e-22,-4.11893e-21,-5.00045e-22,0.0166206,-9.60833e-13,-1.16647e-13,3.87713e+06,0.242162,1.49242e+06,982.05,0.000118147,6.14768e+08,0,2200,1,0,0,0,-0.005895,0
3.19112,389.524,1.01476e-09,6.1444e-23,-0.00211146,6159,3.1871e-05,0,-6.74866e-06,0,3.88654e-08,-4.89691e-22,-6.213e-07,-4.83073e-22,0.0166205,-36064.5,-1.13687e-13,3.87681e+06,0.242162,1.4924e+06,982.05,0.000118147,6.14618e+08,0,2200,1,8.24497e-07,8.24497e-07,0,-0.005895,1
3.19106,389.525,2.02951e-09,5.93567e-23,-0.00211146,6158.63,6.37419e-05,0,-1.34973e-05,0,7.77307e-08,-4.76456e-22,-1.2426e-06,-4.6653e-22,0.0166205,-72128.9,-2.27374e-13,3.87648e+06,0.242162,1.49238e+06,982.049,0.000118147,6.14468e+08,0,2200,1,1.64899e-06,1.64899e-06,0,-0.005895,2
3.19101,389.526,3.04427e-09,5.72758e-23,-0.00211146,6158.25,9.56129e-05,0,-2.0246e-05,0,1.16596e-07,-4.76456e-22,-1.8639e-06,-4.49986e-22,0.0166204,-108193,0,3.87616e+06,0.242162,1.49235e+06,982.048,0.000118147,6.14317e+08,0,2200,1,2.47349e-06,2.47349e-06,0,-0.005895,3
3.19096,389.527,4.05902e-09,5.51885e-23,-0.00211146,6157.88,0.000127484,0,-2.69947e-05,0,1.55461e-07,-4.23516e-22,-2.4852e-06,-4.36751e-22,0.0166204,-144258,0,3.87584e+06,0.242162,1.49233e+06,982.047,0.000118147,6.14167e+08,0,2200,1,3.29799e-06,3.29799e-06,0,-0.005895,4
3.19091,389.527,5.07378e-09,5.31076e-23,-0.00211146,6157.5,0.000159355,0,-3.37433e-05,0,1.94327e-07,-4.23516e-22,-3.1065e-06,-4.16899e-22,0.0166203,-180322,0,3.87552e+06,0.242162,1.4923e+06,982.047,0.000118146,6.14017e+08,0,2200,1,4.12249e-06,4.12249e-06,0,-0.005895,5
3.19086,389.528,6.08854e-09,5.10267e-23,-0.00211146,6157.12,0.000191226,0,-4.0492e-05,0,2.33192e-07,-4.23516e-22,-3.7278e-06,-3.97047e-22,0.0166203,-216387,0,3.8752e+06,0.242162,1.49228e+06,982.046,0.000118146,6.13867e+08,0,2200,1,4.94698e-06,4.94698e-06,0,-0.005895,6
3.19081,389.529,7.10329e-09,4.89458e-23,-0.00211146,6156.75,0.000223097,0,-4.72407e-05,0,2.72058e-07,-4.23516e-22,-4.3491e-06,-3.83812e-22,0.0166202,-252451,0,3.87488e+06,0.242162,1.49226e+06,982.045,0.000118146,6.13717e+08,0,2200,1,5.77148e-06,5.77148e-06,0,-0.005895,7
3.19076,389.53,8.11805e-09,4.6865e-23,-0.00211146,6156.37,0.000254968,0,-5.39893e-05,0,3.10923e-07,-3.17637e-22,-4.9704e-06,-3.70577e-22,0.0166202,-288516,0,3.87456e+06,0.242162,1.49223e+06,982.045,0.000118146,6.13567e+08,0,2200,1,6.59598e-06,6.59598e-06,0,-0.005895,8
3.1907,389.531,9.1328e-09,4.47712e-23,-0.00211146,6156,0.000286839,0,-6.0738e-05,0,3.49788e-07,-4.23516e-22,-5.5917e-06,-3.57342e-22,0.0166201,-324580,0,3.87424e+06,0.242162,1.49221e+06,982.044,0.000118146,6.13417e+08,0,2200,1,7.42048e-06,7.42048e-06,0,-0.005895,9
