Force,T,U:0,U:1,U:2,generalizedNewtonian:nu,grad(U):0,grad(U):1,grad(U):2,grad(U):3,grad(U):4,grad(U):5,grad(U):6,grad(U):7,grad(U):8,grad(generalizedNewtonian:nu):0,grad(generalizedNewtonian:nu):1,grad(generalizedNewtonian:nu):2,kappa,p,rho,thermo:alpha,thermo:mu,wallHeatFlux,cellID,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Point ID
3.05067,434.626,5.91397e-22,7.17966e-23,-0.00238639,27.3596,9.80469e-38,1.1903e-38,-3.95636e-19,1.1903e-38,1.44505e-39,-4.80308e-20,-3.95636e-19,-4.80308e-20,1.59646,-3.39575e-14,-4.12249e-15,137024,0.242162,1.42672e+06,950.445,0.000121124,401075,0,7050,1,0,0,0,-0.0106,0
3.05082,434.626,-4.45941e-07,7.03104e-23,-0.00238638,27.3582,-0.0138337,0,0.000400923,0,-1.68696e-05,-4.74338e-20,0.00298876,-4.91279e-20,1.59643,-48.8311,-3.9968e-15,137016,0.242162,1.42679e+06,950.445,0.000121124,401057,0,7050,1,5.1375e-07,5.1375e-07,0,-0.0106,1
3.05097,434.627,-8.91882e-07,6.82424e-23,-0.00238638,27.3569,-0.0276674,0,0.000801846,0,-3.37393e-05,-4.57398e-20,0.00597752,-4.74338e-20,1.5964,-97.6622,-3.9968e-15,137008,0.242162,1.42686e+06,950.445,0.000121124,401040,0,7050,1,1.0275e-06,1.0275e-06,0,-0.0106,2
3.05113,434.627,-1.33782e-06,6.61744e-23,-0.00238637,27.3555,-0.0415011,0,0.00120277,0,-5.06089e-05,-4.57398e-20,0.00896628,-3.38813e-20,1.59637,-146.493,-3.9968e-15,137000,0.242162,1.42693e+06,950.445,0.000121124,401023,0,7050,1,1.54125e-06,1.54125e-06,0,-0.0106,3
3.05128,434.628,-1.78376e-06,6.61744e-23,-0.00238637,27.3541,-0.0553348,0,0.00160369,0,-6.74786e-05,-4.48927e-20,0.011955,-3.38813e-20,1.59634,-195.324,-3.9968e-15,136992,0.242162,1.427e+06,950.444,0.000121124,401006,0,7050,1,2.055e-06,2.055e-06,0,-0.0106,4
3.05143,434.628,-2.2297e-06,6.61744e-23,-0.00238636,27.3528,-0.0691685,0,0.00200462,0,-8.43482e-05,-4.15046e-20,0.0149438,-3.38813e-20,1.59631,-244.156,-3.44169e-15,136984,0.242162,1.42707e+06,950.444,0.000121124,400988,0,7050,1,2.56875e-06,2.56875e-06,0,-0.0106,5
3.05159,434.629,-2.67564e-06,6.61744e-23,-0.00238636,27.3514,-0.0830022,0,0.00240554,0,-0.000101218,-4.06576e-20,0.0179326,-6.09864e-20,1.59628,-292.987,-3.55271e-15,136976,0.242162,1.42715e+06,950.444,0.000121124,400971,0,7050,1,3.0825e-06,3.0825e-06,0,-0.0106,6
3.05174,434.629,-3.12159e-06,5.79026e-23,-0.00238635,27.35,-0.0968359,0,0.00280646,0,-0.000118088,-4.06576e-20,0.0209213,-6.77626e-20,1.59625,-341.818,-3.55271e-15,136968,0.242162,1.42722e+06,950.443,0.000121124,400954,0,7050,1,3.59625e-06,3.59625e-06,0,-0.0106,7
3.05189,434.629,-3.56753e-06,5.79026e-23,-0.00238635,27.3487,-0.11067,0,0.00320738,0,-0.000134957,-4.06576e-20,0.0239101,-6.77626e-20,1.59622,-390.649,-3.33067e-15,136960,0.242162,1.42729e+06,950.443,0.000121124,400937,0,7050,1,4.11e-06,4.11e-06,0,-0.0106,8
3.05205,434.63,-4.01347e-06,5.79026e-23,-0.00238634,27.3473,-0.124503,0,0.00360831,0,-0.000151827,-4.06576e-20,0.0268988,-6.77626e-20,1.59619,-439.48,-3.33067e-15,136952,0.242162,1.42736e+06,950.443,0.000121124,400919,0,7050,1,4.62375e-06,4.62375e-06,0,-0.0106,9
