# Region          : all 
# Cells           : 14000
# Volume          : 2.6742330615e-10
# Time            	max(U)	max(p)
0.0003            	(1.6672624468e-05 1.6686052375e-17 -2.8632776616e-04)	2.9813530670e+06
0.0006            	(1.7286995577e-05 1.5209877181e-17 -2.8632917596e-04)	2.9887672892e+06
0.0009            	(1.7394380781e-05 1.5187612795e-17 -2.8632925764e-04)	2.9902150194e+06
0.0012            	(1.7414704993e-05 1.5876386784e-17 -2.8632927398e-04)	2.9904979893e+06
0.0015            	(1.7418713397e-05 2.2915766536e-17 -2.8632927725e-04)	2.9905600924e+06
0.0018            	(1.7419511231e-05 2.2038920126e-17 -2.8632927791e-04)	2.9905716078e+06
0.0021            	(1.7419670283e-05 1.3936247290e-17 -2.8632927799e-04)	2.9905738852e+06
0.0024            	(1.7419702013e-05 2.3551276390e-17 -2.8632927800e-04)	2.9905743340e+06
0.0027            	(1.7419708403e-05 2.0901490269e-17 -2.8632927806e-04)	2.9905744318e+06
0.003             	(1.7419709680e-05 2.0382132251e-17 -2.8632927812e-04)	2.9905744474e+06
