# Wall heat-flux  
# Time            	patch             	min               	max               	integral          
3.0000000000e-04	wall_top	3.9099793858e+03	4.7280059788e+04	1.2841922209e-02
6.0000000000e-04	wall_top	3.9100008226e+03	4.7280059838e+04	1.2841923755e-02
9.0000000000e-04	wall_top	3.9100004787e+03	4.7280059838e+04	1.2841923750e-02
1.2000000000e-03	wall_top	3.9100004099e+03	4.7280059838e+04	1.2841923749e-02
1.5000000000e-03	wall_top	3.9100003962e+03	4.7280059838e+04	1.2841923749e-02
1.8000000000e-03	wall_top	3.9100003934e+03	4.7280059838e+04	1.2841923749e-02
2.1000000000e-03	wall_top	3.9100003929e+03	4.7280059838e+04	1.2841923749e-02
2.4000000000e-03	wall_top	3.9100003928e+03	4.7280059838e+04	1.2841923749e-02
2.7000000000e-03	wall_top	3.9100003928e+03	4.7280059838e+04	1.2841923749e-02
3.0000000000e-03	wall_top	3.9100003927e+03	4.7280059838e+04	1.2841923749e-02
